"Year","Treatment","AGB","AGB.c","AGB.d","rep","AGB.sc"
2059,"Log_Single",567.883605957031,90.7469821023467,0,"1",-0.222449474992736
2060,"Log_Single",538.677368164062,61.5407443093777,0,"1",-0.398254903928053
2061,"Log_Single",456.187408447266,-20.9492154074183,0,"1",-0.894798924889204
2062,"Log_Single",439.146209716797,-37.9904141378873,0,"1",-0.997377534076017
2063,"Log_Single",416.551147460938,-60.5854763937463,0,"1",-1.13338733581323
2064,"Log_Single",378.190826416016,-98.9457974386683,0,"1",-1.36429529264094
2065,"Log_Single",370.281036376953,-106.855587477731,0,"1",-1.41190786227292
2066,"Log_Single",397.759521484375,-79.3771023703093,0,"1",-1.24650255074163
2067,"Log_Single",413.341674804688,-63.7949490499963,0,"1",-1.15270658949416
2068,"Log_Single",463.1025390625,-14.0340847921843,0,"1",-0.853173655911643
2069,"Log_Single",499.452514648438,22.3158907937537,0,"1",-0.634366868985715
2070,"Log_Single",559.701843261719,82.5652194070346,0,"1",-0.271699169879579
2071,"Log_Single",615.547668457031,138.411044602347,0,"1",0.0644618694951024
2072,"Log_Single",611.916564941406,134.779941086722,0,"1",0.0426046307915721
2073,"Log_Single",485.036407470703,7.89978361601868,0,"1",-0.721143876141677
2074,"Log_Single",434.144500732422,-42.9921231222623,0,"1",-1.02748506109271
2075,"Log_Single",411.783935546875,-65.3526883078093,0,"1",-1.16208331991492
2076,"Log_Single",392.138793945312,-84.9978299093723,0,"1",-1.28033622774372
2077,"Log_Single",419.942993164062,-57.1936306906223,0,"1",-1.11297029706462
2078,"Log_Single",447.05615234375,-30.0804715109343,0,"1",-0.949764045949176
2079,"Log_Single",459.711151123047,-17.4254727316373,12.306640625,"1",-0.873587939175649
2080,"Log_Single",446.966033935547,-30.1705899191373,48.406616210937,"1",-0.950306509018928
2081,"Log_Single",471.652740478516,-5.48388337616831,48.08023071289,"1",-0.801706163313608
2082,"Log_Single",503.904083251953,26.7674593972687,46.992462158203,"1",-0.607570883370466
2083,"Log_Single",534.731018066406,57.5943942117217,47.401489257813,"1",-0.422009753031362
2084,"Log_Single",543.877868652344,66.7412447976596,44.1779174804681,"1",-0.366950761795757
2085,"Log_Single",505.659637451172,28.5230135964877,20.7286682128901,"1",-0.597003416201271
2086,"Log_Single",506.749481201172,29.6128573464877,2.64886474609403,"1",-0.590443158447452
2087,"Log_Single",531.087951660156,53.9513278054717,1.196533203125,"1",-0.443939001732639
2088,"Log_Single",542.106018066406,64.9693942117217,2.73614501953102,"1",-0.377616324216985
2089,"Log_Single",598.715881347656,121.579257492972,0.608703613281023,"1",-0.0368561973332099
2090,"Log_Single",642.844055175781,165.707431321097,1.46087646484398,"1",0.228771049249483
2091,"Log_Single",698.089050292969,220.952426438285,1.189453125,"1",0.561315423227184
2092,"Log_Single",743.895812988281,266.759189133597,9.877685546875,"1",0.837046848167039
2093,"Log_Single",736.752746582031,259.616122727347,9.612060546875,"1",0.794049531553855
2094,"Log_Single",719.422058105469,242.285434250785,83.456420898438,"1",0.689728353901188
2095,"Log_Single",723.818054199219,246.681430344535,112.231384277344,"1",0.716189823685076
2096,"Log_Single",700.955627441406,223.819003586722,123.116821289062,"1",0.578570635238039
2097,"Log_Single",564.763244628906,87.6266207742217,91.334564208984,"1",-0.241232327670059
2098,"Log_Single",506.419555664062,29.2829318093777,65.866729736328,"1",-0.592429128053654
2099,"Log_Single",464.675872802734,-12.4607510519504,52.359069824218,"1",-0.843703055315258
2100,"Log_Single",420.828247070312,-56.3083767843723,47.618133544921,"1",-1.10764155723143
2101,"Log_Single",411.877532958984,-65.2590908957004,46.544189453125,"1",-1.16151991516215
2102,"Log_Single",438.965789794922,-38.1708340597623,47.944091796875,"1",-0.998463562409366
2103,"Log_Single",454.994049072266,-22.1425747824183,50.621826171875,"1",-0.901982289562293
2104,"Log_Single",504.456817626953,27.3201937722687,52.839294433594,"1",-0.604243727556253
2105,"Log_Single",541.699523925781,64.5629000710967,54.760314941406,"1",-0.38006319454855
2106,"Log_Single",603.744873046875,126.608249192191,58.414123535156,"1",-0.00658444343390476
2107,"Log_Single",661.618347167969,184.481723313285,60.985046386719,"1",0.341781923160743
2108,"Log_Single",656.496643066406,179.360019211722,50.711669921875,"1",0.310952091778907
2109,"Log_Single",522.528930664062,45.3923068093777,31.2840881347651,"1",-0.495459583334112
2110,"Log_Single",464.272338867188,-12.8642849874963,12.931060791016,"1",-0.846132106846356
2111,"Log_Single",439.471466064453,-37.6651577902313,7.315185546875,"1",-0.995419670412818
2112,"Log_Single",414.8818359375,-62.2547879171843,9.22738647460898,"1",-1.14343566968235
2113,"Log_Single",439.421020507812,-37.7156033468723,10.140716552734,"1",-0.99572332481658
2114,"Log_Single",465.353912353516,-11.7827115011683,10.798004150391,"1",-0.839621631514448
2115,"Log_Single",489.631744384766,12.4951205300817,11.32373046875,"1",-0.693482484660655
2116,"Log_Single",512.207092285156,35.0704684304717,11.963317871094,"1",-0.557591352460549
2117,"Log_Single",535.828552246094,58.6919283914096,13.094909667969,"1",-0.415403203136132
2118,"Log_Single",566.008239746094,88.8716158914096,14.633483886719,"1",-0.233738144333228
2119,"Log_Single",595.702331542969,118.565707688285,17.16015625,"1",-0.0549961036020854
2120,"Log_Single",600.531372070312,123.394748215628,19.092102050781,"1",-0.0259279453793938
2121,"Log_Single",541.68017578125,64.5435519265657,20.192321777344,"1",-0.380179659697964
2122,"Log_Single",529.955383300781,52.8187594460967,23.028991699219,"1",-0.450756438049836
2123,"Log_Single",552.149230957031,75.0126071023467,23.073120117187,"1",-0.317161726721716
2124,"Log_Single",559.472412109375,82.3357882546907,24.114074707031,"1",-0.273080218764919
2125,"Log_Single",616.094055175781,138.957431321097,23.311401367187,"1",0.0677508159227566
2126,"Log_Single",660.135559082031,182.998935227347,21.048156738281,"1",0.332856357419741
2127,"Log_Single",711.874816894531,234.738193039847,14.020141601562,"1",0.644298128078448
2128,"Log_Single",759.73974609375,282.603122239066,3.46783447265602,"1",0.932418579212111
2129,"Log_Single",744.400573730469,267.263949875785,15.66943359375,"1",0.840085229194377
2130,"Log_Single",697.743408203125,220.606784348441,60.990844726563,"1",0.559234848649456
2131,"Log_Single",683.291748046875,206.155124192191,71.248901367187,"1",0.472243832188972
2132,"Log_Single",649.028137207031,171.891513352347,71.713500976562,"1",0.265995809308679
2133,"Log_Single",520.650756835938,43.5141329812536,46.786407470704,"1",-0.506765152980194
2134,"Log_Single",467.664306640625,-9.47231721405933,25.615631103516,"1",-0.825714333301849
2135,"Log_Single",431.867767333984,-45.2688565207004,17.785369873046,"1",-1.04118973933716
